Index coax_placement_x  coax_placement_y  substrate_permittivity
  161 -6.6666666667E-01 +5.0000000000E+00 +3.0000000000E+00     
  162 -6.6666666667E-01 +5.6666666667E+00 +3.0000000000E+00     
  163 -6.6666666667E-01 +6.3333333333E+00 +3.0000000000E+00     
  164 -6.6666666667E-01 +7.0000000000E+00 +3.0000000000E+00     
  165 -6.6666666667E-01 +7.6666666667E+00 +3.0000000000E+00     
  166 -6.6666666667E-01 +8.3333333333E+00 +3.0000000000E+00     
  167 -6.6666666667E-01 +9.0000000000E+00 +3.0000000000E+00     
  168 +0.0000000000E+00 +5.0000000000E+00 +3.0000000000E+00     
  169 +0.0000000000E+00 +5.6666666667E+00 +3.0000000000E+00     
  170 +0.0000000000E+00 +6.3333333333E+00 +3.0000000000E+00     
  171 +0.0000000000E+00 +7.0000000000E+00 +3.0000000000E+00     
  172 +0.0000000000E+00 +7.6666666667E+00 +3.0000000000E+00     
  173 +0.0000000000E+00 +8.3333333333E+00 +3.0000000000E+00     
  174 +0.0000000000E+00 +9.0000000000E+00 +3.0000000000E+00     
  175 +6.6666666667E-01 +5.0000000000E+00 +3.0000000000E+00     
  176 +6.6666666667E-01 +5.6666666667E+00 +3.0000000000E+00     
  177 +6.6666666667E-01 +6.3333333333E+00 +3.0000000000E+00     
  178 +6.6666666667E-01 +7.0000000000E+00 +3.0000000000E+00     
  179 +6.6666666667E-01 +7.6666666667E+00 +3.0000000000E+00     
  180 +6.6666666667E-01 +8.3333333333E+00 +3.0000000000E+00     
  181 +6.6666666667E-01 +9.0000000000E+00 +3.0000000000E+00     
  182 +1.3333333333E+00 +5.0000000000E+00 +3.0000000000E+00     
  183 +1.3333333333E+00 +5.6666666667E+00 +3.0000000000E+00     
  184 +1.3333333333E+00 +6.3333333333E+00 +3.0000000000E+00     
  185 +1.3333333333E+00 +7.0000000000E+00 +3.0000000000E+00     
  186 +1.3333333333E+00 +7.6666666667E+00 +3.0000000000E+00     
  187 +1.3333333333E+00 +8.3333333333E+00 +3.0000000000E+00     
  188 +1.3333333333E+00 +9.0000000000E+00 +3.0000000000E+00     
  189 +2.0000000000E+00 +5.0000000000E+00 +3.0000000000E+00     
  190 +2.0000000000E+00 +5.6666666667E+00 +3.0000000000E+00     
  191 +2.0000000000E+00 +6.3333333333E+00 +3.0000000000E+00     
  192 +2.0000000000E+00 +7.0000000000E+00 +3.0000000000E+00     
  193 +2.0000000000E+00 +7.6666666667E+00 +3.0000000000E+00     
  194 +2.0000000000E+00 +8.3333333333E+00 +3.0000000000E+00     
  195 +2.0000000000E+00 +9.0000000000E+00 +3.0000000000E+00     
  196 -2.0000000000E+00 +5.0000000000E+00 +3.0333333333E+00     
  197 -2.0000000000E+00 +5.6666666667E+00 +3.0333333333E+00     
  198 -2.0000000000E+00 +6.3333333333E+00 +3.0333333333E+00     
  199 -2.0000000000E+00 +7.0000000000E+00 +3.0333333333E+00     
  200 -2.0000000000E+00 +7.6666666667E+00 +3.0333333333E+00     
  201 -2.0000000000E+00 +8.3333333333E+00 +3.0333333333E+00     
  202 -2.0000000000E+00 +9.0000000000E+00 +3.0333333333E+00     
  203 -1.3333333333E+00 +5.0000000000E+00 +3.0333333333E+00     
  204 -1.3333333333E+00 +5.6666666667E+00 +3.0333333333E+00     
  205 -1.3333333333E+00 +6.3333333333E+00 +3.0333333333E+00     
  206 -1.3333333333E+00 +7.0000000000E+00 +3.0333333333E+00     
  207 -1.3333333333E+00 +7.6666666667E+00 +3.0333333333E+00     
  208 -1.3333333333E+00 +8.3333333333E+00 +3.0333333333E+00     
  209 -1.3333333333E+00 +9.0000000000E+00 +3.0333333333E+00     
  210 -6.6666666667E-01 +5.0000000000E+00 +3.0333333333E+00     
  211 -6.6666666667E-01 +5.6666666667E+00 +3.0333333333E+00     
  212 -6.6666666667E-01 +6.3333333333E+00 +3.0333333333E+00     
  213 -6.6666666667E-01 +7.0000000000E+00 +3.0333333333E+00     
  214 -6.6666666667E-01 +7.6666666667E+00 +3.0333333333E+00     
  215 -6.6666666667E-01 +8.3333333333E+00 +3.0333333333E+00     
  216 -6.6666666667E-01 +9.0000000000E+00 +3.0333333333E+00     
  217 +0.0000000000E+00 +5.0000000000E+00 +3.0333333333E+00     
  218 +0.0000000000E+00 +5.6666666667E+00 +3.0333333333E+00     
  219 +0.0000000000E+00 +6.3333333333E+00 +3.0333333333E+00     
  220 +0.0000000000E+00 +7.0000000000E+00 +3.0333333333E+00     
  221 +0.0000000000E+00 +7.6666666667E+00 +3.0333333333E+00     
  222 +0.0000000000E+00 +8.3333333333E+00 +3.0333333333E+00     
  223 +0.0000000000E+00 +9.0000000000E+00 +3.0333333333E+00     
  224 +6.6666666667E-01 +5.0000000000E+00 +3.0333333333E+00     
  225 +6.6666666667E-01 +5.6666666667E+00 +3.0333333333E+00     
  226 +6.6666666667E-01 +6.3333333333E+00 +3.0333333333E+00     
  227 +6.6666666667E-01 +7.0000000000E+00 +3.0333333333E+00     
  228 +6.6666666667E-01 +7.6666666667E+00 +3.0333333333E+00     
